iter	Passed	Remaining
582	21274	51707
583	21309	51667
584	21343	51625
585	21380	51590
586	21417	51554
587	21454	51519
588	21491	51484
589	21530	51453
590	21566	51416
591	21603	51380
592	21638	51340
593	21674	51304
594	21710	51265
595	21750	51238
596	21788	51204
597	21828	51175
598	21864	51138
599	21902	51104
600	21938	51067
601	21974	51031
602	22011	50994
603	22049	50961
604	22083	50920
605	22118	50880
606	22154	50841
607	22196	50818
608	22232	50780
609	22269	50745
610	22309	50715
611	22342	50672
612	22381	50640
613	22429	50630
614	22468	50599
615	22505	50564
616	22539	50522
617	22577	50487
618	22612	50449
619	22649	50412
620	22683	50371
621	22719	50334
622	22756	50298
623	22794	50265
624	22831	50229
625	22867	50191
626	22903	50153
627	22940	50117
628	22976	50081
629	23010	50039
630	23047	50003
631	23082	49964
632	23120	49930
633	23155	49891
634	23190	49850
635	23224	49808
636	23263	49777
637	23303	49748
638	23339	49710
639	23376	49675
640	23410	49633
641	23445	49592
642	23482	49558
643	23518	49519
644	23552	49478
645	23587	49438
646	23621	49396
647	23656	49357
648	23691	49317
649	23725	49276
650	23759	49233
651	23794	49195
652	23829	49154
653	23868	49123
654	23903	49084
655	23938	49044
656	23976	49011
657	24012	48974
658	24047	48935
659	24087	48905
660	24124	48869
661	24159	48830
662	24194	48791
663	24230	48752
664	24264	48710
665	24298	48669
666	24337	48637
667	24373	48601
668	24424	48594
669	24462	48560
670	24497	48520
671	24531	48478
672	24566	48439
673	24599	48396
674	24634	48357
675	24682	48343
676	24723	48314
677	24759	48276
678	24801	48251
679	24837	48214
680	24874	48178
681	24909	48138
682	24944	48098
683	24979	48060
684	25045	48079
685	25079	48039
686	25115	48001
687	25151	47964
688	25187	47924
689	25223	47888
690	25258	47849
691	25293	47808
692	25327	47767
693	25364	47731
694	25399	47691
695	25432	47650
696	25468	47611
697	25504	47574
698	25540	47537
699	25578	47502
700	25613	47463
701	25652	47430
702	25691	47399
703	25733	47372
704	25774	47344
705	25809	47305
706	25847	47270
707	25881	47229
708	25918	47194
709	25954	47156
710	25991	47120
711	26029	47086
712	26066	47051
713	26103	47015
714	26139	46977
715	26174	46937
716	26207	46895
717	26242	46856
718	26277	46817
719	26311	46776
720	26347	46737
721	26379	46694
722	26413	46653
723	26478	46665
724	26515	46630
725	26553	46596
726	26592	46563
727	26627	46524
728	26666	46491
729	26711	46470
730	26761	46457
731	26796	46418
732	26832	46379
733	26867	46340
734	26902	46301
735	26937	46262
736	26974	46226
737	27009	46186
738	27046	46150
739	27080	46110
740	27122	46081
741	27163	46053
742	27198	46014
743	27233	45974
744	27269	45937
745	27304	45897
746	27339	45859
747	27373	45818
748	27407	45776
749	27442	45737
750	27479	45702
751	27513	45660
752	27547	45619
753	27582	45579
754	27621	45548
755	27659	45514
756	27694	45474
757	27729	45436
758	27764	45395
759	27788	45339
760	27826	45304
761	27865	45272
762	27901	45235
763	27937	45196
764	27970	45155
765	28005	45115
766	28041	45077
767	28076	45039
768	28111	45000
769	28146	44961
770	28182	44923
771	28217	44885
772	28252	44845
773	28299	44825
774	28334	44786
775	28368	44746
776	28403	44707
777	28439	44669
778	28475	44631
779	28521	44611
780	28558	44574
781	28592	44534
782	28625	44492
783	28665	44460
784	28699	44419
785	28737	44385
786	28772	44346
787	28807	44308
788	28842	44268
789	28877	44230
790	28914	44194
791	28950	44156
792	28986	44119
793	29020	44079
794	29054	44038
795	29093	44006
796	29130	43969
797	29167	43933
798	29204	43897
799	29238	43858
800	29272	43817
801	29309	43781
802	29347	43747
803	29381	43707
804	29419	43672
805	29460	43642
806	29499	43610
807	29538	43576
808	29572	43536
809	29606	43495
810	29642	43458
811	29679	43422
812	29713	43382
813	29747	43342
814	29787	43310
815	29833	43287
816	29882	43269
817	29917	43231
818	29953	43192
819	29994	43162
820	30034	43130
821	30069	43092
822	30106	43055
823	30139	43014
824	30179	42983
825	30218	42949
826	30254	42912
827	30288	42872
828	30324	42834
829	30358	42795
830	30393	42755
831	30429	42718
832	30464	42679
833	30497	42637
834	30542	42613
835	30583	42582
836	30616	42540
837	30654	42506
838	30694	42474
839	30729	42436
840	30767	42401
841	30801	42360
842	30835	42321
843	30873	42286
844	30908	42247
845	30944	42210
846	30980	42172
847	31016	42135
848	31051	42096
849	31090	42064
850	31126	42026
851	31160	41986
852	31195	41947
853	31234	41914
854	31270	41877
855	31308	41842
856	31342	41802
857	31375	41761
858	31410	41722
859	31445	41683
860	31482	41647
861	31520	41612
862	31554	41572
863	31595	41541
864	31638	41513
865	31679	41483
866	31716	41446
867	31753	41410
868	31788	41372
869	31825	41337
870	31865	41304
871	31905	41272
872	31943	41237
873	31962	41178
874	31997	41139
875	32044	41116
876	32079	41078
877	32113	41037
878	32148	40999
879	32183	40960
880	32227	40933
881	32266	40900
882	32303	40864
883	32337	40824
884	32373	40786
885	32409	40749
886	32443	40709
887	32477	40669
888	32510	40629
889	32547	40592
890	32593	40567
891	32634	40536
892	32669	40497
893	32704	40459
894	32739	40421
895	32775	40384
896	32809	40344
897	32845	40307
898	32879	40267
899	32913	40227
900	32949	40189
901	32989	40158
902	33025	40120
903	33060	40082
904	33097	40046
905	33132	40007
906	33167	39969
907	33201	39929
908	33248	39905
909	33293	39879
910	33332	39845
911	33368	39808
912	33404	39770
913	33437	39730
914	33475	39694
915	33509	39654
916	33543	39615
917	33577	39575
918	33612	39538
919	33648	39500
920	33684	39463
