address,population,households,latitude,longitude
宮崎県宮崎市大字瓜生野,2108,874,31.984175,131.394637
宮崎県宮崎市大字生目,560,204,31.9174166,131.3725915
宮崎県宮崎市大字田吉,2791,1291,31.864439,131.449119
宮崎県宮崎市大字糸原,2090,670,31.9586024,131.3651774
宮崎県宮崎市大字細江,1129,459,31.895298,131.342285
宮崎県宮崎市大字芳士,5413,2297,31.9645454,131.4433238
宮崎県宮崎市大字赤江,4299,1980,31.8789772,131.4487785
宮崎県宮崎市大字跡江,1925,689,31.9446639,131.3907832
宮崎県宮崎市大字郡司分,2511,975,31.8550541,131.41632
宮崎県宮崎市大字金崎,422,173,31.9727655,131.3583879
宮崎県宮崎市大字鏡洲,760,314,31.8161588,131.3809444
宮崎県宮崎市大字長嶺,230,107,31.923403,131.356183
宮崎県宮崎市大島町,5895,2560,31.9404728,131.4413416
宮崎県宮崎市大工一丁目,663,473,31.91745,131.413968
宮崎県宮崎市大工三丁目,1626,1053,31.91771,131.406017
宮崎県宮崎市大工二丁目,1308,778,31.9175146,131.4102092
宮崎県宮崎市大橋一丁目,1027,580,31.920177,131.4147
宮崎県宮崎市大橋三丁目,1947,1058,31.921646,131.407025
宮崎県宮崎市大橋二丁目,637,336,31.9207007,131.4116423
宮崎県宮崎市大淀一丁目,451,250,31.901768,131.424658
宮崎県宮崎市大淀三丁目,230,159,31.89705,131.422123
宮崎県宮崎市大淀二丁目,388,211,31.899803,131.423544
宮崎県宮崎市大淀四丁目,251,172,31.8956329,131.4201148
宮崎県宮崎市大王町,479,227,31.9070841,131.4396974
宮崎県宮崎市天満一丁目,254,156,31.900873,131.414532
宮崎県宮崎市天満三丁目,476,226,31.8961135,131.4148622
宮崎県宮崎市天満二丁目,212,113,31.8980428,131.4143483
宮崎県宮崎市天満町,309,187,31.900934,131.411172
宮崎県宮崎市太田一丁目,512,242,31.90301,131.42224
宮崎県宮崎市太田三丁目,303,153,31.8997272,131.4213406
宮崎県宮崎市太田二丁目,311,179,31.901661,131.42157
宮崎県宮崎市太田四丁目,320,187,31.8975938,131.4207072
宮崎県宮崎市学園木花台北一丁目,296,113,31.833428,131.430288
宮崎県宮崎市学園木花台北三丁目,1187,546,31.832873,131.422729
宮崎県宮崎市学園木花台北二丁目,575,231,31.833322,131.426468
宮崎県宮崎市学園木花台南一丁目,318,134,31.828709,131.427042
宮崎県宮崎市学園木花台南三丁目,867,381,31.829901,131.423624
宮崎県宮崎市学園木花台南二丁目,549,227,31.826445,131.4244042
宮崎県宮崎市学園木花台桜一丁目,1664,1306,31.827549,131.419917
宮崎県宮崎市学園木花台桜二丁目,1478,1026,31.82527,131.414293
宮崎県宮崎市学園木花台西一丁目,608,319,31.8294425,131.4132168
宮崎県宮崎市学園木花台西二丁目,55,54,31.832721,131.414334
宮崎県宮崎市宮の元町,131,65,31.888492,131.42801
宮崎県宮崎市宮崎駅東一丁目,256,170,31.9137121,131.4341153
宮崎県宮崎市宮崎駅東三丁目,975,478,31.919049,131.433724
宮崎県宮崎市宮崎駅東二丁目,184,113,31.9167207,131.4339245
宮崎県宮崎市宮田町,332,194,31.911694,131.426048
宮崎県宮崎市宮脇町,441,233,31.9144557,131.4369642
宮崎県宮崎市小山田上倉（穆佐）,23,4,,
宮崎県宮崎市小山田小山田（穆佐）,355,156,,
宮崎県宮崎市小山田麓（穆佐）,313,115,,
宮崎県宮崎市小戸町,809,389,31.9028751,131.4533821
宮崎県宮崎市小松台北町,915,391,31.935218,131.393914
宮崎県宮崎市小松台南町,472,176,31.926817,131.391972
宮崎県宮崎市小松台東一丁目,618,252,31.9310252,131.3968458
宮崎県宮崎市小松台東三丁目,484,203,31.9281923,131.3924405
宮崎県宮崎市小松台東二丁目,606,247,31.9294538,131.3949028
宮崎県宮崎市小松台西一丁目,210,79,31.932766,131.394905
宮崎県宮崎市小松台西三丁目,514,216,31.9287436,131.3903748
宮崎県宮崎市小松台西二丁目,324,127,31.9317243,131.3933182
宮崎県宮崎市山崎町,987,369,31.9533093,131.4632606
宮崎県宮崎市岡一丁目,795,393,31.9005046,131.4551604
宮崎県宮崎市岡三丁目,268,157,31.9105097,131.4571345
宮崎県宮崎市岡二丁目,335,169,31.9064249,131.4566892
宮崎県宮崎市川原町,659,380,31.9061529,131.4247077
宮崎県宮崎市希望ケ丘一丁目,656,280,31.8600726,131.4286083
宮崎県宮崎市希望ケ丘三丁目,1081,463,31.859671,131.424284
宮崎県宮崎市希望ケ丘二丁目,547,226,31.85776,131.4254241
宮崎県宮崎市希望ケ丘四丁目,825,356,31.858636,131.4208709
宮崎県宮崎市平和が丘北町,651,270,31.959569,131.413476
宮崎県宮崎市平和が丘東町,547,238,31.9553718,131.4149357
宮崎県宮崎市平和が丘西町,1164,489,31.9559059,131.4125011
宮崎県宮崎市広島一丁目,764,452,31.914728,131.426363
宮崎県宮崎市広島二丁目,583,408,31.9144653,131.4291061
宮崎県宮崎市恒久一丁目,657,348,31.89619,131.425159
宮崎県宮崎市恒久三丁目,872,457,31.894009,131.429985
宮崎県宮崎市恒久二丁目,746,344,31.895157,131.4273795
宮崎県宮崎市恒久五丁目,1020,427,31.891851,131.436102
宮崎県宮崎市恒久六丁目,806,415,31.891073,131.439565
宮崎県宮崎市恒久南一丁目,720,407,31.8923755,131.4228121
宮崎県宮崎市恒久南三丁目,822,420,31.890744,131.428321
宮崎県宮崎市恒久南二丁目,1148,523,31.8911593,131.4248901
宮崎県宮崎市恒久南四丁目,307,142,31.8907484,131.432173
宮崎県宮崎市恒久四丁目,789,352,31.893452,131.433254
宮崎県宮崎市新別府町,3054,1297,31.9264691,131.4547312
宮崎県宮崎市新城町,1228,488,31.9263462,131.4400488
