address,latitude,longitude,population,households,huff_1.0,huff_1.2,huff_1.5,huff_1.8,huff_2.0
宮崎県宮崎市北高松町,31.9170915,131.4168401,219,171,0.06900451560544789,0.079570438793805,0.0946933459972407,0.10922749570670413,0.118686458293785
宮崎県宮崎市千草町,31.916408,131.419059,522,408,0.0790142842112049,0.09309721720179985,0.11409746694412794,0.13505054888658732,0.14898444804140787
宮崎県宮崎市南原一丁目,31.8352834,131.2982672,200,63,0.037513223196553855,0.04953648777169202,0.07294938373135376,0.10354264881151641,0.12800011880523499
宮崎県宮崎市南原三丁目,31.8314095,131.2977093,190,79,0.03663982673494445,0.04822815217295575,0.07076360430685358,0.10022641298274214,0.12383569259304043
宮崎県宮崎市南原二丁目,31.8363362,131.294834,480,179,0.036110450532770295,0.046334329833810965,0.06745657776777982,0.09497314458129608,0.11702747922142742
宮崎県宮崎市南方町,31.9623272,131.4244169,524,206,0.11941819444278576,0.14455369721545283,0.17945083335375817,0.2090205583131261,0.22539339492749283
宮崎県宮崎市南町三丁目,31.8935664,131.4155731,24,14,0.17502280224571237,0.20054777282279534,0.22961831373671496,0.2508111004410813,0.2619485220585733
宮崎県宮崎市南花ケ島町,31.9417119,131.4297815,1050,514,0.06186207107678326,0.06752986846416116,0.08086245765789404,0.10432159929564361,0.12169356002798422
宮崎県宮崎市南高松町,31.914422,131.415426,281,197,0.06532158723893189,0.07021190571139416,0.07946824725049646,0.08927696869334754,0.09552771155560962
宮崎県宮崎市原町,31.9238245,131.4221279,384,226,0.10389346865565688,0.13689233175552606,0.1908949171055514,0.24576221838766346,0.2804153258892218
宮崎県宮崎市古城町,31.890483,131.379279,1009,354,0.06826770457655945,0.07694506277703456,0.08864280413707226,0.09894999757258419,0.10519447432288945
宮崎県宮崎市吉村町中,,,3341,1409,,,,,
宮崎県宮崎市吉村町北,,,3457,1468,,,,,
宮崎県宮崎市吉村町南,,,2504,1230,,,,,
宮崎県宮崎市吉村町東,,,4450,2051,,,,,
宮崎県宮崎市吉村町西,31.9195677,131.4442304,2919,1343,0.23063685639518394,0.31530527932462027,0.45390408396967724,0.5893863422016514,0.6700037700577853
宮崎県宮崎市吾妻町,31.903836,131.432544,1428,836,0.06712889284381544,0.07328099319980816,0.08057347179540676,0.0862618739630494,0.08943570444269014
宮崎県宮崎市和知川原一丁目,31.923632,131.414804,946,440,0.06795598259616187,0.07597808163870423,0.08639657496497756,0.10712184086814162,0.12163011583571949
宮崎県宮崎市和知川原三丁目,31.924388,131.407924,627,295,0.1118730544149074,0.13715533924655882,0.17644699336844133,0.21619590162938784,0.24226156986931396
宮崎県宮崎市和知川原二丁目,31.923948,131.4122957,581,297,0.08104039704782048,0.09409505501094594,0.11265740353095823,0.13000665440370984,0.1408781898233832
宮崎県宮崎市城ヶ崎一丁目,31.899004,131.427199,401,191,0.10200195653500302,0.11770744953416552,0.13887553009394327,0.15749316037593922,0.1686437224070165
宮崎県宮崎市城ヶ崎三丁目,31.897311,131.431482,727,398,0.08923454924770866,0.10216769448276643,0.11988346935974516,0.13602713409920192,0.14610279923959657
宮崎県宮崎市城ヶ崎二丁目,31.898291,131.4290847,920,425,0.09641211806743297,0.11100789154461764,0.13093001113161623,0.14885368742409527,0.1598512481712975
宮崎県宮崎市城ヶ崎四丁目,31.8954661,131.4343625,751,376,0.08222746918116847,0.09348158848526063,0.10880027060152243,0.12274617847118084,0.1314959507429934
宮崎県宮崎市堀川町,31.9099097,131.4336678,1309,856,0.09348702857312821,0.11263855039062315,0.14200853624109597,0.17190475403028124,0.19190696321993114
宮崎県宮崎市大和町,31.91784,131.437144,331,193,0.11580904215641033,0.13988768641984314,0.17309643223500726,0.20136227003621585,0.21711497832054366
宮崎県宮崎市大坪東一丁目,31.9030843,131.4091094,559,236,0.14869728264579193,0.17888288204579914,0.22187633327340947,0.2612235892874815,0.28515910974316894
宮崎県宮崎市大坪東三丁目,31.8974346,131.4084636,739,321,0.20631864877225708,0.24986835056922124,0.3068626062123099,0.35289353643198357,0.3779047362473088
宮崎県宮崎市大坪東二丁目,31.8994578,131.4081566,558,225,0.1914933209285048,0.23275308295871072,0.28850712931091865,0.33526348388438953,0.36139027814817065
宮崎県宮崎市大坪町,31.905691,131.406577,376,206,0.11340002140552782,0.13349300672361875,0.16249992450297088,0.19023725691188184,0.2080601146286935
宮崎県宮崎市大坪西一丁目,31.8978994,131.4051967,591,269,0.1522968765925589,0.18340473014089154,0.2271779459458884,0.26665293844376375,0.29044758899199635
宮崎県宮崎市大坪西二丁目,31.8972806,131.4032222,642,283,0.1333369973876903,0.1591795987267167,0.1958328080262404,0.22955514608822908,0.25037473844143315
宮崎県宮崎市大塚台東一丁目,31.91961,131.387097,784,360,0.13092845777604575,0.16478033777489068,0.21697073949975915,0.2671652556014633,0.29789014835829564
宮崎県宮崎市大塚台東二丁目,31.912422,131.384488,358,156,0.09565730097209568,0.11657739950204452,0.14936833450022927,0.18312924614223308,0.20578890161627716
宮崎県宮崎市大塚台西一丁目,31.921608,131.38606,1616,789,0.12438741112268135,0.15545004516063834,0.20277558902300627,0.247699740956249,0.2749360100912028
宮崎県宮崎市大塚台西三丁目,31.909623,131.382862,2073,1020,0.08365060900786152,0.10007967815359112,0.12536174425101196,0.15117868947705096,0.16859234875919402
宮崎県宮崎市大塚台西二丁目,31.9162037,131.3824686,1285,605,0.10025768212723422,0.1231465020456553,0.1590834732290986,0.19572925698493263,0.21991405082064053
宮崎県宮崎市大塚町上,31.9092987,131.4266458,3308,1404,0.08368835031040014,0.09917870856837586,0.1226132877179579,0.14645916590752178,0.1625932813876535
宮崎県宮崎市大塚町下,40.3470923,116.6465913,4550,1954,0.021389659731932825,0.021366764217134133,0.021332374039617658,0.021297927970031365,0.02127493309153724
宮崎県宮崎市大塚町中,36.3219577,139.2018597,4137,1869,0.021282841278120086,0.021234982838350003,0.021160921847107668,0.021084150235650252,0.021031473593486963
宮崎県宮崎市大塚町北,31.9121257,131.4189237,1674,803,0.06832930885409351,0.07842353035400543,0.09281296184599008,0.10670576677159246,0.11584301557932998
宮崎県宮崎市大塚町南,31.9089169,131.3930044,3590,1648,0.09198406322801399,0.11016990481391327,0.13783598287022378,0.1657451847809549,0.1843793297414387
