name,share_morning,share_noon,share_evening
がちゃぽん都城店,0.0025830104493965423,0.0025830104493965423,0.0025830104493965427
ＢＩＧＯＰＵＳ１５都城店,0.0025801847333872447,0.0025801847333872443,0.0025801847333872447
シルバーバック宮崎みなと店,0.0019421094043823666,0.0019421094043823668,0.0019421094043823666
ダイナム小林店,0.0026203116739700566,0.002620311673970056,0.002620311673970056
ランドマークスロット館,0.002646332405942251,0.0026463324059422507,0.0026463324059422507
ダイナム宮崎延岡店,0.0026674972638200444,0.002667497263820044,0.0026674972638200444
ＭＧＭ日南店,0.002545756037754989,0.002545756037754989,0.002545756037754989
Ｔ−ＭＡＸ高鍋店,0.0027064614098082176,0.002706461409808218,0.002706461409808218
シリウス９６都城店,0.0025812772125176566,0.0025812772125176566,0.002581277212517656
ダイナム花ケ島店,0.0025723597166405665,0.002572359716640567,0.002572359716640566
モナコパレス大橋店,0.002674645482938404,0.0026746454829384035,0.0026746454829384043
モナコパレス都城店,0.0025771429918900997,0.0025771429918900993,0.0025771429918900997
ダイナム西都店,0.002674640415761512,0.0026746404157615123,0.0026746404157615123
オーパス小松台店,0.002101965561827013,0.0021019655618270136,0.0021019655618270136
オーパス三股店,0.0025774288856949957,0.002577428885694996,0.002577428885694995
ＣＯＲＥ２１日南店,0.0025452585996525896,0.002545258599652591,0.0025452585996525905
マルハン都城店,0.0025816085791657965,0.002581608579165796,0.0025816085791657965
マルハン都城南店,0.0025862557463996187,0.0025862557463996196,0.002586255746399619
ＢＩＧＯＰＵＳ１５都城店,0.0025801847333872447,0.0025801847333872443,0.0025801847333872447
シリウス清武店,0.002439698862520304,0.002439698862520304,0.002439698862520304
ＥＶＯ３７宮崎,0.0017905179493281516,0.0017905179493281516,0.0017905179493281516
ダイナム高鍋店,0.0027015723953527646,0.002701572395352765,0.0027015723953527646
まるみつ日向店,0.002675425243003884,0.0026754252430038843,0.0026754252430038843
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９延岡店,0.002668711518957393,0.002668711518957393,0.0026687115189573934
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９日向店,0.002675471333097832,0.002675471333097832,0.002675471333097832
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９都城駅前店,0.0025836895909775288,0.0025836895909775288,0.0025836895909775288
ＣＯＲＥ２１佐土原店,0.0025718660408738814,0.002571866040873881,0.002571866040873882
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９延岡店,0.002668711518957393,0.002668711518957393,0.0026687115189573934
ダイナム日南店,0.002545268018713509,0.002545268018713509,0.0025452680187135093
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９大淀店,0.0022813383921343887,0.0022813383921343887,0.0022813383921343887
サンクス恵比須店,0.0026677759730212064,0.0026677759730212064,0.002667775973021207
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９都城駅前店,0.0025836895909775288,0.0025836895909775288,0.0025836895909775288
シリウス清武店,0.002439698862520304,0.002439698862520304,0.002439698862520304
ＣＯＲＥ２１南宮崎店,0.002795066291995883,0.0027950662919958838,0.0027950662919958833
Ｓｕｐｅｒ　Ｄ’ｓｔａｔｉｏｎ３９日向店,0.002675471333097832,0.002675471333097832,0.002675471333097832
西の丸門川店,0.0026730817364015204,0.002673081736401521,0.0026730817364015204
ＣＯＲＥ２１日向店,0.0026755147930572327,0.002675514793057233,0.002675514793057233
シルバーバック宮崎みなと店,0.0019421094043823666,0.0019421094043823668,0.0019421094043823666
オーパス延岡店,0.002668805129952687,0.0026688051299526873,0.002668805129952687
シルバーバック日向店,0.0026754262813323383,0.0026754262813323388,0.0026754262813323388
ＣＯＲＥ２１日向店,0.0026755147930572327,0.002675514793057233,0.002675514793057233
ＣＯＲＥ２１日向店,0.0026755147930572327,0.002675514793057233,0.002675514793057233
ＣＯＲＥ２１南延岡店,0.0026694313334447353,0.0026694313334447353,0.0026694313334447353
ＣＯＲＥ２１佐土原店,0.0025718660408738814,0.002571866040873881,0.002571866040873882
ＣＯＲＥ２１南宮崎店,0.002795066291995883,0.0027950662919958838,0.0027950662919958833
モナコパレス１０００宮崎駅前店,0.002324594841139201,0.0023245948411392014,0.0023245948411392014
パーラーエービーシー花ヶ島店,0.002618902514465629,0.0026189025144656296,0.00261890251446563
エーワンリンク高鍋店,0.002708462667799038,0.0027084626677990374,0.002708462667799038
オーパス日南店,0.0025453724591692236,0.002545372459169224,0.0025453724591692236
ダイナム都城南店,0.002590058051061069,0.0025900580510610696,0.0025900580510610687
シルバーバック低貸専門三股店,0.0025759023159407524,0.0025759023159407524,0.0025759023159407524
ダイナム宮崎昭栄店,0.002284347480861863,0.002284347480861863,0.0022843474808618624
シルバーバック宮崎みなと店,0.0019421094043823666,0.0019421094043823668,0.0019421094043823666
オーパス宮崎本店,0.0023733433224868684,0.002373343322486869,0.002373343322486868
西の丸延岡店,0.002668942178354621,0.0026689421783546207,0.002668942178354621
ダイナム宮崎日向財光寺店,0.0026764488978080524,0.0026764488978080524,0.002676448897808053
西の丸川南店,0.0026912176476172047,0.0026912176476172047,0.0026912176476172047
ダイナム宮崎日向財光寺店,0.0026764488978080524,0.0026764488978080524,0.002676448897808053
マルハン都城南店,0.0025862557463996187,0.0025862557463996196,0.002586255746399619
ＶＥＧＡ　えびの,0.0026299857161313474,0.002629985716131348,0.0026299857161313483
ダイナム宮崎昭栄店,0.002284347480861863,0.002284347480861863,0.0022843474808618624
